City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
118,Georgetown,MY,2021-07-19 23:09:03,5.4112,100.3354,80.89,84,20,2.3
119,Faanui,PF,2021-07-19 23:09:04,-16.4833,-151.75,78.66,77,100,23.02
120,Tuatapere,NZ,2021-07-19 23:09:04,-46.1333,167.6833,40.82,79,93,5.48
121,Srednekolymsk,RU,2021-07-19 23:09:05,67.45,153.6833,63.97,38,100,12.19
122,Paita,PE,2021-07-19 23:09:05,-5.0892,-81.1144,70.36,83,5,15.88
123,Smirnykh,RU,2021-07-19 23:09:05,49.75,142.8333,79.68,47,5,4.41
124,Viljoenskroon,ZA,2021-07-19 23:09:05,-27.2084,26.9485,38.35,22,0,5.88
125,Sao Filipe,CV,2021-07-19 23:09:06,14.8961,-24.4956,75.04,84,28,8.55
126,Allapalli,IN,2021-07-19 23:09:06,19.4167,80.0667,79.0,87,100,5.21
127,Airai,TL,2021-07-19 23:09:06,-8.9266,125.4092,59.61,73,13,3.27
128,Saskylakh,RU,2021-07-19 23:09:06,71.9167,114.0833,51.98,92,95,5.93
129,Santa Barbara,US,2021-07-19 23:06:12,34.7333,-120.0343,95.34,30,0,9.6
130,Aksu,CN,2021-07-19 23:09:07,41.1231,80.2644,68.43,66,46,1.66
131,Baikunthpur,IN,2021-07-19 23:09:07,23.25,82.55,78.8,80,100,3.6
132,Matai,TZ,2021-07-19 23:09:07,-8.3,31.5167,51.64,63,0,4.92
133,Ilulissat,GL,2021-07-19 23:09:08,69.2167,-51.1,42.82,93,90,12.66
134,Taoudenni,ML,2021-07-19 23:09:08,22.6783,-3.9836,105.84,8,18,3.98
135,Hailin,CN,2021-07-19 23:09:08,44.5833,129.4167,77.2,81,40,3.27
136,Viseu,PT,2021-07-19 23:06:25,40.661,-7.9097,65.7,96,8,2.33
137,Sabha,LY,2021-07-19 23:09:08,27.0377,14.4283,84.43,25,9,15.99
138,Mae Hong Son,TH,2021-07-19 23:09:09,19.3003,97.9685,74.53,99,100,1.25
139,Gari,RU,2021-07-19 23:09:09,59.4307,62.3497,61.97,72,29,5.3
140,Lavumisa,SZ,2021-07-19 23:09:09,-27.31,31.892,52.12,68,0,3.89
141,Ribeira Grande,PT,2021-07-19 23:09:10,38.5167,-28.7,70.38,85,100,20.42
142,Coyah,GN,2021-07-19 23:09:10,9.75,-13.4167,76.05,91,92,2.68
143,Avera,US,2021-07-19 23:09:10,33.194,-82.5271,81.54,86,100,3.22
144,Ust-Nera,RU,2021-07-19 23:09:10,64.5667,143.2,74.86,30,30,8.05
145,Port Alfred,ZA,2021-07-19 23:09:11,-33.5906,26.891,60.1,85,53,11.12
146,Avarua,CK,2021-07-19 23:09:11,-21.2078,-159.775,78.85,78,75,11.5
147,Upernavik,GL,2021-07-19 23:09:11,72.7868,-56.1549,40.44,89,99,4.07
148,Carnarvon,AU,2021-07-19 23:09:11,-24.8667,113.6333,66.97,85,10,11.86
149,Torbay,CA,2021-07-19 23:05:29,47.6666,-52.7314,66.27,85,97,9.04
150,Bethel,US,2021-07-19 23:06:32,41.3712,-73.414,79.88,80,77,4.34
151,Lompoc,US,2021-07-19 23:06:15,34.6391,-120.4579,95.77,57,1,16.11
152,Inyonga,TZ,2021-07-19 23:09:12,-6.7167,32.0667,60.8,47,0,5.5
153,Nanakuli,US,2021-07-19 23:09:12,21.3906,-158.1547,87.75,53,40,9.22
154,Alvaraes,BR,2021-07-19 23:09:12,-3.2208,-64.8042,78.67,73,57,2.33
155,Natal,BR,2021-07-19 23:06:37,-5.795,-35.2094,74.05,94,75,5.75
156,San Cristobal,VE,2021-07-19 23:09:13,7.7669,-72.225,66.49,97,81,4.76
157,Kismayo,SO,2021-07-19 23:09:13,-0.3582,42.5454,76.51,81,72,17.31
158,Deputatskiy,RU,2021-07-19 23:06:02,69.3,139.9,57.96,83,100,4.29
159,Abu Zabad,SD,2021-07-19 23:09:14,12.35,29.25,80.78,64,82,10.51
160,Lebu,CL,2021-07-19 23:09:14,-37.6167,-73.65,52.57,90,94,12.39
161,Kodiak,US,2021-07-19 23:09:14,57.79,-152.4072,65.71,68,1,14.97
162,Pavlogradka,RU,2021-07-19 23:09:16,54.2024,73.5592,59.56,70,100,6.38
163,Terrace,CA,2021-07-19 23:09:16,54.5163,-128.6035,74.82,45,60,1.43
164,Ati,TD,2021-07-19 23:09:16,13.2154,18.3353,84.87,52,97,6.73
165,Mehamn,NO,2021-07-19 23:09:16,71.0357,27.8492,43.14,76,66,24.18
166,Yilan,TW,2021-07-19 23:09:17,24.757,121.753,86.11,99,87,1.12
167,Kaeo,NZ,2021-07-19 23:09:17,-35.1,173.7833,62.33,72,33,3.89
168,Wencheng,CN,2021-07-19 23:09:17,33.0559,113.7978,74.79,98,100,5.26
169,Priyutnoye,RU,2021-07-19 23:09:18,46.1011,43.5072,81.95,27,0,4.61
170,Batemans Bay,AU,2021-07-19 23:04:29,-35.7167,150.1833,56.1,62,45,8.95
171,Menongue,AO,2021-07-19 23:09:18,-14.6585,17.691,50.85,45,39,4.29
172,Cabo San Lucas,MX,2021-07-19 23:09:18,22.8909,-109.9124,98.82,52,20,3.0
173,Adrar,MR,2021-07-19 23:09:18,20.5022,-10.0711,97.38,13,60,8.34
174,East London,ZA,2021-07-19 23:09:19,-33.0153,27.9116,61.39,79,2,12.39
175,Muisne,EC,2021-07-19 23:09:19,0.6,-80.0333,76.57,84,76,7.72
