City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
190,Korla,CN,41.7597,86.1469,92.61,20,90,2.75,overcast clouds
191,Grand Gaube,MU,-20.0064,57.6608,68.38,86,94,8.99,moderate rain
192,Tura,IN,25.5198,90.2201,79.14,91,100,1.79,moderate rain
193,Vila Velha,BR,-20.3297,-40.2925,73.35,60,20,3.44,few clouds
194,Liseleje,DK,56.0053,11.9483,69.82,72,92,1.01,overcast clouds
195,Ust-Kuyga,RU,70.0167,135.6,52.07,77,100,5.91,overcast clouds
196,Mahebourg,MU,-20.4081,57.7,68.25,73,77,22.91,light rain
197,Samarai,PG,-10.6167,150.6667,78.44,81,77,12.41,broken clouds
198,Chernyshevskiy,RU,63.0128,112.4714,60.48,90,26,2.37,scattered clouds
199,Toyooka,JP,35.5333,134.8333,76.66,91,76,3.53,broken clouds
200,Narsaq,GL,60.9167,-46.05,46.62,99,100,2.17,moderate rain
201,Basco,PH,20.4487,121.9702,82.98,82,29,25.9,scattered clouds
202,Clyde River,CA,70.4692,-68.5914,39.43,87,90,12.66,overcast clouds
203,Mar Del Plata,AR,-38.0023,-57.5575,54.0,52,32,1.01,scattered clouds
204,Fort Nelson,CA,58.8053,-122.7002,53.19,100,75,0.0,fog
205,Ekhabi,RU,53.5102,142.9671,64.42,81,75,15.41,broken clouds
206,Cape Town,ZA,-33.9258,18.4232,57.11,72,98,8.99,light rain
207,Hithadhoo,MV,-0.6,73.0833,82.42,75,100,15.39,overcast clouds
208,Olga,RU,43.7444,135.2892,68.95,97,89,1.21,overcast clouds
209,Sonqor,IR,34.7837,47.6004,99.41,10,26,11.48,scattered clouds
210,Coquimbo,CL,-29.9533,-71.3436,47.93,93,90,4.61,overcast clouds
211,Kuito,AO,-12.3833,16.9333,77.45,17,0,7.18,clear sky
212,Kiunga,PG,-6.1219,141.2906,73.22,99,95,2.84,overcast clouds
213,Karatsu,JP,33.4425,129.9697,84.09,25,100,5.01,overcast clouds
214,Tirumullaivasal,IN,11.2333,79.8333,89.55,54,100,6.35,light rain
215,The Valley,AI,18.217,-63.0578,84.09,78,1,15.41,clear sky
216,Valparaiso,CL,-33.0393,-71.6273,52.48,93,90,3.44,fog
217,Victoria,HK,22.2855,114.1577,84.33,86,100,11.99,light rain
218,Honningsvag,NO,70.9821,25.9704,47.95,76,75,21.85,light rain
219,Verkh-Suetka,RU,53.3,80.05,75.13,50,0,10.47,clear sky
220,Fortuna,US,40.5982,-124.1573,55.33,73,90,1.99,overcast clouds
221,Port Lincoln,AU,-34.7333,135.8667,52.23,59,100,19.8,overcast clouds
222,Isangel,VU,-19.55,169.2667,74.82,91,39,3.58,scattered clouds
223,Cabo San Lucas,MX,22.8909,-109.9124,83.8,69,92,8.5,overcast clouds
224,Veinticinco De Mayo,AR,-35.4323,-60.1727,47.05,73,34,3.0,scattered clouds
225,Lampa,CL,-33.2833,-70.9,47.23,45,100,0.0,overcast clouds
226,Okitipupa,NG,6.5047,4.7839,79.54,81,81,8.23,light rain
227,Barabinsk,RU,55.3571,78.357,71.08,66,100,1.81,overcast clouds
228,Phan Thiet,VN,10.9333,108.1,77.36,82,100,10.49,overcast clouds
229,Moron,AR,-34.6534,-58.6198,55.02,61,6,3.0,clear sky
230,Veliki Preslav,BG,43.1667,26.8167,86.47,28,0,17.92,clear sky
231,Yuzhno-Kurilsk,RU,44.0306,145.8556,58.87,95,100,4.12,overcast clouds
232,Mandiana,GN,10.6333,-8.6833,88.05,53,84,5.84,broken clouds
233,Mayo,US,38.8876,-76.5119,82.81,80,20,1.01,haze
234,Liusha,CN,27.2098,108.59,71.89,92,47,1.25,scattered clouds
235,High Level,CA,58.5169,-117.136,50.11,100,75,2.3,mist
236,Itoman,JP,26.1247,127.6694,82.42,89,75,27.63,light intensity shower rain
237,Cidreira,BR,-30.1811,-50.2056,54.48,57,0,9.53,clear sky
238,Vila Franca Do Campo,PT,37.7167,-25.4333,72.01,68,26,9.91,scattered clouds
239,Dikson,RU,73.5069,80.5464,52.83,56,8,16.44,clear sky
240,Bathsheba,BB,13.2167,-59.5167,86.61,66,20,20.71,few clouds
241,Butaritari,KI,3.0707,172.7902,81.64,78,60,10.0,light rain
242,Teguise,ES,29.0605,-13.564,73.62,57,20,23.02,few clouds
243,Komsomolskiy,UZ,40.4272,71.7189,90.32,29,7,6.91,light rain
244,Broken Hill,AU,-31.95,141.4333,44.29,55,100,8.37,overcast clouds
