City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
113,Agadir,MA,30.4202,-9.5982,70.25,70,34,7.09,scattered clouds
114,Wanaka,NZ,-44.7,169.15,45.1,99,100,2.91,overcast clouds
115,Constitucion,CL,-35.3333,-72.4167,52.93,89,100,4.14,overcast clouds
116,Awjilah,LY,29.1081,21.2869,79.41,62,0,17.13,clear sky
117,Jamestown,US,42.097,-79.2353,70.02,56,1,5.01,clear sky
118,Malinovskiy,RU,61.1953,62.8397,54.05,81,44,4.68,scattered clouds
119,Airai,TL,-8.9266,125.4092,58.82,66,26,2.8,scattered clouds
120,Ancud,CL,-41.8697,-73.8203,49.53,85,100,12.26,overcast clouds
121,Itarema,BR,-2.9248,-39.9167,78.85,79,18,16.44,few clouds
122,Sorland,NO,67.667,12.6934,51.06,92,100,22.37,overcast clouds
123,La Ronge,CA,55.1001,-105.2842,70.05,73,19,6.91,few clouds
124,Kyra,RU,49.5776,111.9753,66.9,95,96,4.5,overcast clouds
125,Berdigestyakh,RU,62.0989,126.6992,67.19,68,21,6.04,few clouds
126,Port Lincoln,AU,-34.7333,135.8667,48.45,80,100,18.05,light rain
127,Gorontalo,ID,0.5412,123.0595,77.7,89,97,1.92,overcast clouds
128,Qaanaaq,GL,77.484,-69.3632,38.17,99,100,11.92,light rain
129,Selenginsk,RU,52.0064,106.8647,63.01,99,100,0.6,light rain
130,Evensk,RU,61.95,159.2333,49.87,93,99,8.52,overcast clouds
131,Broken Hill,AU,-31.95,141.4333,43.25,64,100,19.17,overcast clouds
132,Lagoa Da Canoa,BR,-9.8297,-36.7378,66.33,94,35,5.1,scattered clouds
133,Umarkot,PK,25.3616,69.7362,83.7,76,4,16.33,clear sky
134,Ostrovnoy,RU,68.0531,39.5131,43.72,87,83,9.01,broken clouds
135,Cape Town,ZA,-33.9258,18.4232,48.34,83,59,1.99,light rain
136,Torbay,CA,47.6666,-52.7314,52.57,98,100,1.99,overcast clouds
137,Piacabucu,BR,-10.4056,-36.4344,73.99,82,17,9.62,few clouds
138,Bizhbulyak,RU,53.6967,54.2642,64.17,64,73,2.53,broken clouds
139,Te Anau,NZ,-45.4167,167.7167,44.04,87,76,1.34,broken clouds
140,Beloha,MG,-25.1667,45.05,71.83,59,67,7.67,broken clouds
141,Kavaratti,IN,10.5669,72.642,82.08,81,100,22.48,overcast clouds
142,Soyo,AO,-6.1349,12.3689,70.88,85,0,5.19,clear sky
143,Suleja,NG,9.1758,7.1808,70.84,98,83,2.17,light rain
144,Khandyga,RU,62.6667,135.6,62.71,92,100,6.91,light rain
145,Yebaishou,CN,41.3975,119.6408,74.53,84,100,4.0,overcast clouds
146,Songea,TZ,-10.6833,35.65,63.55,73,99,2.46,overcast clouds
147,Boa Vista,BR,2.8197,-60.6733,78.78,83,40,3.44,scattered clouds
148,Arman,RU,59.7,150.1667,53.89,95,100,7.14,light rain
149,Mujiayingzi,CN,42.1167,118.7833,73.35,73,100,5.39,overcast clouds
150,Harsin,IR,34.2721,47.5861,76.3,25,0,2.53,clear sky
151,Trairi,BR,-3.2778,-39.2689,78.42,80,21,13.69,few clouds
152,Ilulissat,GL,69.2167,-51.1,48.22,66,48,3.44,scattered clouds
153,Egvekinot,RU,66.3167,-179.1667,43.83,73,98,11.45,overcast clouds
154,Torquay,GB,50.4638,-3.5143,71.58,42,67,5.08,broken clouds
155,Srednekolymsk,RU,67.45,153.6833,62.56,63,86,5.12,overcast clouds
156,Laguna,US,38.421,-121.4238,104.14,21,1,5.01,clear sky
157,Mackay,AU,-21.15,149.2,61.68,47,4,11.5,clear sky
158,East London,ZA,-33.0153,27.9116,51.46,63,52,22.97,broken clouds
159,Calama,CL,-22.4667,-68.9333,64.89,7,0,8.05,clear sky
160,Coxim,BR,-18.5067,-54.76,75.61,26,17,4.9,few clouds
161,Pauini,BR,-7.7136,-66.9764,78.35,51,0,2.06,clear sky
