City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
306,Camacha,PT,74.16,scattered clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
308,Tondano,ID,71.69,overcast clouds,1.3038,124.9112,Villa Bella
309,Taltal,CL,62.94,few clouds,-25.4,-70.4833,Residencial Karime
310,Qasigiannguit,GL,41.0,overcast clouds,68.8193,-51.1922,Hotel Diskobay
312,Kuusamo,FI,55.44,broken clouds,65.9667,29.1833,Hotel Kuusanka
316,Pacific Grove,US,57.42,few clouds,36.6177,-121.9166,Lovers Point Inn
320,Dunedin,NZ,48.79,light rain,-45.8742,170.5036,Scenic Hotel Southern Cross
322,Pampierstad,ZA,57.63,clear sky,-27.7832,24.6877,BAROLONG METHODIST CHURCH
323,Coihaique,CL,41.11,mist,-45.5752,-72.0662,Diego De Almagro Coyhaique
324,Roma,US,68.38,broken clouds,43.2128,-75.4557,Wingate By Wyndham Rome
326,Rocky Mountain House,CA,60.55,overcast clouds,52.3668,-114.9188,Walking Eagle Inn & Lodge
328,Severo-Kurilsk,RU,51.19,scattered clouds,50.6789,156.125,Kak Doma
329,Olmos,PE,64.9,clear sky,-5.9847,-79.7453,Hospedaje El Olmo
331,Tuatapere,NZ,43.83,light rain,-46.1333,167.6833,Ron and Tony's Bed & Breakfast
335,Varberg,SE,72.88,few clouds,57.1056,12.2508,Varbergs Kusthotell
336,Whitehorse,CA,52.57,scattered clouds,60.7161,-135.0538,The Sternwheeler Hotel & Conference Centre
337,Naryan-Mar,RU,54.32,overcast clouds,67.6713,53.087,Hostel Agat
338,Rutland,US,71.28,overcast clouds,43.6167,-73.0162,Comfort Inn Trolley Square
339,Saldanha,ZA,57.25,light rain,-33.0117,17.9442,Blue Bay Lodge
341,La Trinidad,PH,62.65,light rain,16.455,120.5875,IC 48 BETAG
344,Sartell,US,66.92,overcast clouds,45.6216,-94.2069,AmericInn by Wyndham Sartell
346,Bereda,ES,64.92,clear sky,43.2686,-7.5406,Pazo de Verdes
347,Changqing,CN,74.41,light rain,36.5575,116.7272,Hanting Hotel Jinan Changqing West Jingshi Road
349,Eureka,US,55.58,broken clouds,40.8021,-124.1637,Eureka Inn Trademark By Wyndham
350,Marawi,PH,69.55,overcast clouds,7.9986,124.2928,Derogongan Residence
352,Olafsvik,IS,53.56,clear sky,64.8945,-23.7142,Hotel Olafsvik
355,Saint-Joseph,RE,71.96,light rain,-21.3667,55.6167,"""Plantation Bed and Breakfast"
357,Presidencia Roque Saenz Pena,AR,61.3,clear sky,-26.7852,-60.4388,Hotel Gualok
359,Sechura,PE,68.38,clear sky,-5.5569,-80.8222,Hospedaje Costa Bella
360,Quatre Cocos,MU,69.91,light rain,-20.2078,57.7625,Sunrise Attitude Hotel
361,Cidreira,BR,57.78,clear sky,-30.1811,-50.2056,Hotel Castelo
362,Iqaluit,CA,44.33,overcast clouds,63.7506,-68.5145,Frobisher Inn
364,Mahina,PF,74.97,broken clouds,-17.5065,-149.489,Guest Beach Bungalow Tahiti
366,Rio Grande,BR,54.95,clear sky,-32.035,-52.0986,Hotel Atlântico Rio Grande
370,Imeni Poliny Osipenko,RU,73.87,overcast clouds,52.4201,136.4853,Yubileynaya
372,Nuuk,GL,46.2,clear sky,64.1835,-51.7216,Vandrehuset
375,Yarovoye,RU,72.9,clear sky,52.9273,78.58,KirOFF Park
377,Byron Bay,AU,48.15,scattered clouds,-28.65,153.6167,Backpackers Inn on the Beach
382,Lipin Bor,RU,65.35,few clouds,60.2622,37.9763,Priozor'ye
384,Ahipara,NZ,55.69,moderate rain,-35.1667,173.1667,Ahipara Holiday Park
385,Ostrovnoy,RU,49.23,overcast clouds,68.0531,39.5131,
387,Coquimbo,CL,47.93,overcast clouds,-29.9533,-71.3436,Punto de encuentro
388,Raudeberg,NO,65.8,broken clouds,61.9875,5.1352,Nordre Silda.
