City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
321,Auki,SB,83.41,broken clouds,-8.7676,160.7034,Auki Motel
322,Jawhar,SO,73.9,scattered clouds,2.7809,45.5005,hantiwadaag village part one
323,Husavik,IS,60.71,clear sky,66.0449,-17.3389,Bjarnabúð
324,Moose Factory,CA,66.2,overcast clouds,51.2585,-80.6094,Moosonee Lilypad
325,Sao Filipe,CV,76.6,overcast clouds,14.8961,-24.4956,Hotel Xaguate
326,Abha,SA,61.05,overcast clouds,18.2164,42.5053,Abha Hotel
327,Velyka Mykhaylivka,UA,64.02,light rain,47.0794,29.8514,"Готель ""Уют"""
328,Grado,ES,66.24,mist,43.388,-6.0743,El Lacayo de Sestiello
329,Haines Junction,CA,71.55,overcast clouds,60.7522,-137.5108,Parkside Inn
331,Kaduna,NG,70.63,overcast clouds,10.5222,7.4383,HAMDALA HOTEL
333,Petropavlovsk-Kamchatskiy,RU,64.99,few clouds,53.0452,158.6483,The Hotel Petropavlovsky
337,Makhachkala,RU,77.02,scattered clouds,42.9764,47.5024,Argo
338,Antalaha,MG,68.7,light rain,-14.9003,50.2788,Hotel Vitasoa
340,Salinopolis,BR,79.68,scattered clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
343,Popondetta,PG,81.84,few clouds,-8.7537,148.2534,Timos Transit House
345,Belmonte,BR,73.9,scattered clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
346,Fukue,JP,80.96,broken clouds,32.6881,128.8419,Goto Guesthouse Utojuku & SA Car Rental
347,Margate,GB,67.3,clear sky,51.3813,1.3862,Premier Inn Margate hotel
348,Banda Aceh,ID,79.32,overcast clouds,5.5577,95.3222,Sulthan Hotel International
349,Goderich,CA,68.92,clear sky,43.7501,-81.7165,Harmony Inn
351,Zhigansk,RU,61.84,broken clouds,66.7697,123.3711,Gostinichnyy Kompleks Aylgy
352,Wangkui,CN,78.39,broken clouds,46.8333,126.5,Xinxinyuan Restaurant
353,Am Timan,TD,74.95,light rain,11.0297,20.2827,Palais du chef Canton Salamt
354,Kunigal,IN,74.62,overcast clouds,13.0222,77.0267,New Durga lodge
355,Sattahip,TH,86.92,few clouds,12.6664,100.9007,Pob Choke Residences ( พบโชคเรดซิเด้นท์ )
357,Tirumullaivasal,IN,80.37,overcast clouds,11.2333,79.8333,My own house
358,Porto Walter,BR,76.1,clear sky,-8.2686,-72.7439,Secretaria de saúde
359,Tias,ES,69.55,few clouds,28.9611,-13.645,Hotel Beatriz Playa & SPA
360,Balikpapan,ID,76.19,scattered clouds,-1.2675,116.8289,ibis Balikpapan
361,Coahuayana,MX,87.57,broken clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
362,Yamada,JP,74.98,overcast clouds,39.4667,141.95,Iroha-ya Inn
365,Norman Wells,CA,84.24,broken clouds,65.282,-126.8329,Heritage Hotel
367,Chapais,CA,69.58,broken clouds,49.7834,-74.8492,Hôtel Opémiska
368,Wilmington,US,86.0,broken clouds,34.2257,-77.9447,"Hotel Ballast Wilmington, Tapestry Collection by Hilton"
369,La Baneza,ES,72.12,clear sky,42.3003,-5.8977,Señorio De Los Bazan
370,Gwadar,PK,85.48,scattered clouds,25.1216,62.3254,Sadaf Resort
371,Cabiraoan,PH,81.03,overcast clouds,18.3238,122.086,Cunanan’s Residence
372,Katherine,AU,62.92,scattered clouds,-14.4667,132.2667,Pine Tree Motel
373,Korla,CN,81.12,broken clouds,41.7597,86.1469,Gulisitan Hotel
375,Oriximina,BR,78.6,broken clouds,-1.7656,-55.8661,Pousada Tia Amélia
376,Khuzdar,PK,79.66,clear sky,27.7384,66.6434,jhalwan Rent A Car Moola Chotok Boking Office
377,Bambous Virieux,MU,68.25,light rain,-20.3428,57.7575,Casa Tia Villa
378,Jeremie,HT,82.65,overcast clouds,18.65,-74.1167,Auberge’Inn
380,Tahoua,NE,87.1,overcast clouds,14.8888,5.2692,Bungalows Guesthouse
381,Souillac,MU,68.38,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
382,Ormara,PK,83.64,overcast clouds,25.2088,64.6357,Crystal Beach and Camping Resort Ormara
383,Aginskoye,RU,66.0,overcast clouds,51.1,114.53,Кочевник
385,Kargasok,RU,62.83,broken clouds,59.0556,80.8572,Hotel Kargasok
386,Poum,NC,72.36,few clouds,-20.2333,164.0167,Gîte kajeon
387,Belokurikha,RU,61.3,scattered clouds,51.9959,84.9896,Neo Hotel
388,Polson,US,87.12,scattered clouds,47.6936,-114.1632,Americas Best Value Port Polson Inn
389,Salym,RU,62.69,overcast clouds,60.0625,71.4789,Gostinitsa Salym
391,Santa Lucia Cotzumalguapa,GT,88.12,scattered clouds,14.3333,-91.0167,Hotel y Restaurante Santiaguito
394,Luganville,VU,81.81,few clouds,-15.5333,167.1667,The Espiritu Hotel
397,Lucapa,AO,66.54,clear sky,-8.4192,20.7447,Residência Ulisses Dos Santos
398,Hailar,CN,74.88,clear sky,49.2,119.7,Holiday Inn & Suites Hulunbuir
399,Jam Sahib,PK,84.22,clear sky,26.2958,68.6292,Al Madina
400,Teruel,ES,67.96,clear sky,40.6667,-0.6667,La Parra
403,Lagoa,PT,67.21,overcast clouds,39.05,-27.9833,Casa Das Faias
404,Tateyama,JP,84.22,clear sky,34.9833,139.8667,Tateyama Seaside Hotel
407,Calabozo,VE,79.65,broken clouds,8.9242,-67.4293,Hotel Giardini
409,Pasighat,IN,78.76,broken clouds,28.0667,95.3333,Siang Guest House
413,Sao Joao Da Barra,BR,67.87,overcast clouds,-21.6403,-41.0511,Pousada Porto De Canoas
414,Kaura Namoda,NG,77.52,light rain,12.5898,6.5779,Moonlight Hotel
416,Benguela,AO,68.4,few clouds,-12.5763,13.4055,Hotel Praia Morena
